INLINE EscapeQuoteTable,Text ID
0x0,0x0
Eirika,0x0
Seth,0x0
Gilliam,0x0
Franz,0x0
Moulder,0x0
Vanessa,0x0
Ross,0x0
Neimi,0x0
Colm,0x0
Garcia,0x0
Innes,0x0
Lute,0x0
Natasha,0x0
Cormag,0x0
Ephraim,0x0
Forde,0x0
Kyle,0x0
Amelia,0x0
Artur,0x0
Gerik,0x0
Tethys,0x0
Marisa,0x0
Saleh,0x0
Ewan,0x0
L'Arachel,0x0
Dozla,0x0
EMPTY,0x0
Rennac,0x0
Duessel,0x0
Myrrh,0x0
Knoll,0x0
Joshua,0x0
Syrene,0x0
Tana,0x0
Lyon,0x0
Orson,0x0
Glen,0x0
Selena,0x0
Valter,0x0
Riev,0x0
Caellach,0x0
Fado,0x0
Ismaire,0x0
Hayden,0x0
0x2d,0x0
0x2e,0x0
0x2f,0x0
0x30,0x0
0x31,0x0
0x32,0x0
0x33,0x0
0x34,0x0
0x35,0x0
0x36,0x0
0x37,0x0
0x38,0x0
0x39,0x0
0x3a,0x0
0x3b,0x0
0x3c,0x0
0x3d,0x0
0x3e,0x0
0x3f,0x0
0x40,0x0
0x41,0x0
0x42,0x0
0x43,0x0
0x44,0x0
0x45,0x0
0x46,0x0
0x47,0x0
0x48,0x0
0x49,0x0
0x4a,0x0
0x4b,0x0
0x4c,0x0
0x4d,0x0
0x4e,0x0
0x4f,0x0
0x50,0x0
0x51,0x0
0x52,0x0
0x53,0x0
0x54,0x0
0x55,0x0
0x56,0x0
0x57,0x0
0x58,0x0
0x59,0x0
0x5a,0x0
0x5b,0x0
0x5c,0x0
0x5d,0x0
0x5e,0x0
0x5f,0x0
0x60,0x0
0x61,0x0
0x62,0x0
0x63,0x0
0x64,0x0
0x65,0x0
0x66,0x0
0x67,0x0
0x68,0x0
0x69,0x0
0x6a,0x0
0x6b,0x0
0x6c,0x0
0x6d,0x0
0x6e,0x0
0x6f,0x0
