INLINE IBArray,Statboster Text Routine Pointer
Default/ No Effect,0x802F90C
Heal,0x802F90C
Mend,0x802F90C
Recover,0x802F90C
Physic,0x802F90C
Fortify,0x802F90C
Restore,0x802F90C
Silence Staff,0x802F90C
Sleep Staff,0x802F90C
Berserk Staff,0x802F90C
Warp Staff,0x802F90C
Rescue Staff,0x802F90C
Torch Staff,0x802F90C
Hammerne,0x802F90C
Unlock Staff,0x802F90C
Barrier Staff,0x802F90C
Angelic Robe,0x802f83a
Energy Ring,0x802f83a
Secret Book,0x802f83a
Speedwings,0x802f83a
Goddess Icon,0x802f83a
Dragonshield,0x802f83a
Talisman,0x802f83a
Boots,0x802f83a
Body Ring,0x802f83a
Hero Crest,0x802F90C
Knight Crest,0x802F90C
Orion's Bolt,0x802F90C
Elysian Whip,0x802F90C
Guiding Ring,0x802F90C
Chest Key,0x802F90C
Door Key,0x802F90C
Lockpick,0x802F90C
Vulnerary,0x802F90C
Elixir,0x802F90C
Pure Water,0x802F90C
Antidote,0x802F90C
Torch Item,0x802F90C
Chest Key (master key will replace this),0x802F90C
Mine,0x802F90C
Light Rune,0x802F90C
Filla's Might,0x802F90C
Ninis' Grace,0x802F90C
Thor's Ire,0x802F90C
Set's Litany,0x802F90C
Master Seal,0x802F90C
Metis's Tome,0x802F824
Heaven Seal,0x802F90C
Ocean Seal,0x802F90C
Lunar Brace,0x802F90C
Solar Brace,0x802F90C
Vulnerary (Might Vulnerary will replace this),0x802F90C
Other Vulnerary (Custom promotion items will replace this),0x802F90C
Another Vulnerary (can be replaced with custom item effect),0x802F90C
Juna Fruit,0x802F90C
Latona,0x802F90C
Adept Manual,PrepScrollUsageEffect|IsPointer
Aegis Manual,0x802F90C
Astra Manual,0x802F90C
Boon Manual,0x802F90C
CantoPlus Manual,0x802F90C
Luna Manual,0x802F90C
Nihil Manual,0x802F90C
Nullify Manual,0x802F90C
Paragon Manual,0x802F90C
Pass Manual,0x802F90C
Renewal Manual,0x802F90C
Sol Manual,0x802F90C
Wrath Manual,0x802F90C
Spirit Dust,0x802F90C
Entrap,0x802F90C
0x47,0x802F90C
0x48,0x802F90C
0x49,0x802F90C
0x4a,0x802F90C
0x4b,0x802F90C
0x4c,0x802F90C
0x4d,0x802F90C
0x4e,0x802F90C
0x4f,0x802F90C
0x50,0x802F90C
